Player,Team,Position,DRS,FramingRuns Saved,PitchesFramed,StolenBase Runs,PickoffRuns,ThrowingRuns,INF GBRuns,DP RunsStart,DP RunsPivot,IFFBRuns,BuntRuns,OF FlyBallRuns,OF ArmRuns,BlockingRuns
"Brodie Johnston","Vanderbilt","3B","8.38","0.00","0","0.00","0.00","0.00","6.55","0.55","-0.06","0.04","1.29","0.00","0.00","0.00"
"Cooper Neville","Dallas Baptist","3B","8.38","0.00","0","0.00","0.00","0.00","7.47","0.14","0.00","0.08","0.68","0.00","0.00","0.00"
"Carter Bergman","Missouri State","C","8.37","5.01","487","0.00","1.19","1.19","-0.12","0.00","-0.02","0.00","0.00","0.00","0.00","2.32"
"Jackson Golden","Marshall","C","8.32","6.62","604","-0.43","0.00","-0.43","0.14","0.00","-0.02","0.00","0.07","0.00","0.00","1.94"
"Dylan Schaefer","Queens (NC)","SS","8.32","0.00","0","0.00","0.00","0.00","7.88","0.61","0.14","-0.31","0.00","0.00","0.00","0.00"
"Ryker Waite","Vanderbilt","SS","8.26","0.00","0","0.00","0.00","0.00","6.37","0.70","1.09","0.10","0.00","0.00","0.00","0.00"
"Grant Gallagher","Kansas State","3B","8.22","0.00","0","0.00","0.00","0.00","6.79","0.40","-0.01","0.04","1.01","0.00","0.00","0.00"
"Maverick Stallings","Old Dominion","2B","8.17","0.00","0","0.00","0.00","0.00","7.12","0.28","0.67","0.10","0.00","0.00","0.00","0.00"
"Austin Phillips","UT Arlington","3B","8.16","0.00","0","0.00","0.00","0.00","7.29","0.25","-0.01","0.02","0.61","0.00","0.00","0.00"
"Raymond Velazquez","Austin Peay","3B","8.15","0.00","0","0.00","0.00","0.00","8.30","0.44","-0.04","0.06","-0.62","0.00","0.00","0.00"
"Lance Trippel","USF","C","8.10","5.82","566","0.14","1.08","1.22","0.08","0.00","0.00","0.00","1.73","0.00","0.00","-0.77"
"Nicholas Mazzotta","Wagner","SS","8.02","0.00","0","0.00","0.00","0.00","7.02","0.28","0.69","0.02","0.00","0.00","0.00","0.00"
"KaiKea Harrison","Tulane","SS","8.01","0.00","0","0.00","0.00","0.00","7.05","0.75","0.47","-0.27","0.00","0.00","0.00","0.00"
"Bradke Lohry","USF","2B","8.00","0.00","0","0.00","0.00","0.00","6.57","1.08","0.29","0.06","0.00","0.00","0.00","0.00"
"Chase Fralick","Auburn","C","7.99","4.71","619","0.21","-0.28","-0.07","0.41","-0.01","0.00","0.00","0.50","0.00","0.00","2.45"
"Dawson Park","Texas State","SS","7.98","0.00","0","0.00","0.00","0.00","5.88","0.84","1.19","0.06","0.00","0.00","0.00","0.00"
"Eric Guevara","Auburn","3B","7.91","0.00","0","0.00","0.00","0.00","9.09","0.17","0.00","-0.73","-0.63","0.00","0.00","0.00"
"Jaxon Willits","Oklahoma","SS","7.90","0.00","0","0.00","0.00","0.00","6.66","0.51","0.70","0.03","0.00","0.00","0.00","0.00"
"Colby Lunsford","Louisiana Tech","3B","7.88","0.00","0","0.00","0.00","0.00","7.21","0.48","0.00","0.05","0.15","0.00","0.00","0.00"
"Andrew DiLodovico","Bowling Green","C","7.86","4.83","408","-0.41","0.00","-0.41","0.00","0.00","0.00","0.00","-0.09","0.00","0.00","3.53"
"Kolby Branch","Georgia","SS","7.85","0.00","0","0.00","0.00","0.00","6.47","0.17","1.15","0.06","0.00","0.00","0.00","0.00"
"Jimmy Janicki","Troy","C","7.84","4.25","664","-0.10","1.45","1.35","0.13","0.00","-0.03","0.00","-0.27","0.00","0.00","2.41"
"Gavin Grahovac","Texas A&M","1B","7.83","0.00","0","0.00","0.00","0.00","7.15","0.19","0.19","0.15","0.15","0.00","0.00","0.00"
"Kooper Schulte","Iowa","SS","7.78","0.00","0","0.00","0.00","0.00","6.83","0.62","0.29","0.05","0.00","0.00","0.00","0.00"
"Blaze Rodriguez","Louisiana","SS","7.76","0.00","0","0.00","0.00","0.00","7.32","0.33","0.08","0.03","0.00","0.00","0.00","0.00"
"Jake Lyall","Loyola Marymount","C","7.75","1.74","573","0.76","2.47","3.23","0.08","0.00","0.00","0.01","0.29","0.00","0.00","2.41"
"Jackson LaLima","Houston","3B","7.74","0.00","0","0.00","0.00","0.00","6.00","0.23","0.00","0.02","1.48","0.00","0.00","0.00"
"Josh Campos","Liberty","CF","7.71","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","7.71","0.00","0.00"
"Roman Martin","UCLA","3B","7.71","0.00","0","0.00","0.00","0.00","7.20","0.48","-0.01","0.04","0.00","0.00","0.00","0.00"
"Alex Dupuy","UAB","3B","7.70","0.00","0","0.00","0.00","0.00","7.20","0.41","0.00","0.06","0.03","0.00","0.00","0.00"
"Ben Robichaux","Southeastern Louisiana","2B","7.65","0.00","0","0.00","0.00","0.00","6.20","0.58","0.82","0.04","0.00","0.00","0.00","0.00"
"Marcos Rosales","UNLV","2B","7.63","0.00","0","0.00","0.00","0.00","6.26","0.46","0.85","0.06","0.00","0.00","0.00","0.00"
"John Calabrese","Bucknell","RF","7.58","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.50","4.08","0.00"
"Owen McElfatrick","Northwestern","3B","7.55","0.00","0","0.00","0.00","0.00","6.54","0.20","0.00","0.05","0.77","0.00","0.00","0.00"
"Ben North","Creighton","SS","7.55","0.00","0","0.00","0.00","0.00","6.57","0.54","0.43","0.01","0.00","0.00","0.00","0.00"
"Jeter Worthley","Nebraska","C","7.53","0.68","701","-0.39","-0.14","-0.53","0.13","-0.02","-0.01","0.00","0.00","0.00","0.00","7.28"
"Hudson Ellis","Oral Roberts","SS","7.47","0.00","0","0.00","0.00","0.00","6.17","0.20","1.04","0.07","0.00","0.00","0.00","0.00"
"Sam Ardoin","Northwestern State","SS","7.45","0.00","0","0.00","0.00","0.00","6.21","0.50","0.62","0.11","0.00","0.00","0.00","0.00"
"Jake Redding","Hawaii","C","7.41","5.70","601","0.15","-0.04","0.11","0.00","0.00","-0.02","0.00","-0.51","0.00","0.00","2.12"
"Hiram Bocachica Jr.","Rice","SS","7.34","0.00","0","0.00","0.00","0.00","5.70","0.94","0.66","0.05","0.00","0.00","0.00","0.00"
"Noah Quarless","Western Carolina","C","7.34","4.29","536","-0.03","0.00","-0.03","0.00","0.00","0.10","0.00","1.13","0.00","0.00","1.85"
"Kyle Branch","Oklahoma","2B","7.33","0.00","0","0.00","0.00","0.00","5.94","0.64","1.05","-0.30","0.00","0.00","0.00","0.00"
"Tyler Cox","Houston","SS","7.32","0.00","0","0.00","0.00","0.00","6.52","0.26","0.51","0.03","0.00","0.00","0.00","0.00"
"Bayram Hot","Louisville","3B","7.30","0.00","0","0.00","0.00","0.00","6.87","0.38","-0.03","0.02","0.04","0.00","0.00","0.00"
"Justin Lebron","Alabama","SS","7.28","0.00","0","0.00","0.00","0.00","6.29","0.41","0.49","0.08","0.00","0.00","0.00","0.00"
"Kevin Jones","UNC Wilmington","SS","7.27","0.00","0","0.00","0.00","0.00","7.03","0.03","0.17","0.05","0.00","0.00","0.00","0.00"
"Jackson Smith","Cincinnati","2B","7.24","0.00","0","0.00","0.00","0.00","6.30","0.29","0.62","0.03","0.00","0.00","0.00","0.00"
"Kareh Valentin","New Orleans","SS","7.24","0.00","0","0.00","0.00","0.00","5.76","0.73","0.73","0.02","0.00","0.00","0.00","0.00"
