Player,Team,Season,Type,PitchType,Metric,Value,Rank
"Tate McKee","Georgia Tech","2026","pitching","curveball","Whiff%","59.3%","16"
"Brandon Jaenke","Minnesota","2026","pitching","curveball","Whiff%","59.1%","17"
"Justin Mayes","Texas Southern","2026","pitching","curveball","Whiff%","58.8%","18"
"Tristan Hunter","Kentucky","2026","pitching","curveball","Whiff%","57.9%","19"
"Pierson Howe","Pepperdine","2026","pitching","curveball","Whiff%","57.1%","20"
"Stratton Scott","East Tennessee State","2026","pitching","curveball","Whiff%","56.8%","21"
"Robert Bonilla","UTRGV","2026","pitching","curveball","Whiff%","56.5%","22"
"Haiden Leffew","Texas","2026","pitching","curveball","Whiff%","56.5%","22"
"Jake Moss","Penn","2026","pitching","curveball","Whiff%","56.3%","24"
"Tanner Duke","Kansas State","2026","pitching","curveball","Whiff%","56.1%","25"
"Hayden Cody","San Diego","2026","pitching","cutter","Whiff%","60.5%","1"
"Gavin Van Kempen","East Carolina","2026","pitching","cutter","Whiff%","54.5%","2"
"Andrew Rogovic","Northeastern","2026","pitching","cutter","Whiff%","53.6%","3"
"Hunter Dietz","Arkansas","2026","pitching","cutter","Whiff%","52.8%","4"
"Brock Mayer","Cal State Fullerton","2026","pitching","cutter","Whiff%","52.6%","5"
"Tom Bourque","William & Mary","2026","pitching","cutter","Whiff%","52.3%","6"
"Ryan Karst","Indiana State","2026","pitching","cutter","Whiff%","52.2%","7"
"Gavin Blachowicz","Nebraska","2026","pitching","cutter","Whiff%","51.9%","8"
"Marcelo Harsch","Wake Forest","2026","pitching","cutter","Whiff%","51.5%","9"
"Owen Simmons","Campbell","2026","pitching","cutter","Whiff%","51.0%","10"
"Owen Hancock","Ole Miss","2026","pitching","cutter","Whiff%","50.0%","11"
"Luke Meyers","Washington State","2026","pitching","cutter","Whiff%","50.0%","11"
"Ty Brooks","Indiana State","2026","pitching","cutter","Whiff%","50.0%","11"
"Tyler Roark","UL Monroe","2026","pitching","cutter","Whiff%","50.0%","11"
"Rhys Bowie","Wake Forest","2026","pitching","cutter","Whiff%","50.0%","11"
"Jackson Sanders","Auburn","2026","pitching","cutter","Whiff%","49.0%","16"
"Noah Allen","Ole Miss","2026","pitching","cutter","Whiff%","48.5%","17"
"Landon Mack","Tennessee","2026","pitching","cutter","Whiff%","48.1%","18"
"Wil Libbert","Ole Miss","2026","pitching","cutter","Whiff%","47.2%","19"
"Caden Duke","San Jose State","2026","pitching","cutter","Whiff%","47.1%","20"
"Caleb Reed","Wichita State","2026","pitching","cutter","Whiff%","46.9%","21"
"Jackson Flora","UC Santa Barbara","2026","pitching","cutter","Whiff%","45.5%","22"
"Cole Poirrier","Nicholls","2026","pitching","cutter","Whiff%","45.2%","23"
"Michael Harpster","East Tennessee State","2026","pitching","cutter","Whiff%","43.9%","24"
"Brett Renfrow","Virginia Tech","2026","pitching","cutter","Whiff%","43.9%","24"
"Thomas Burns","Texas","2026","pitching","all","Z-Contact%","50.7%","1"
"Brandon Stephens","Coppin State","2026","pitching","all","Z-Contact%","55.3%","2"
"Josh Sibley","Jacksonville State","2026","pitching","all","Z-Contact%","58.3%","3"
"Ben Dean","Duke","2026","pitching","all","Z-Contact%","63.4%","4"
"Haiden Leffew","Texas","2026","pitching","all","Z-Contact%","63.6%","5"
"Chase Swift","Virginia Tech","2026","pitching","all","Z-Contact%","63.6%","5"
"Dax Whitney","Oregon State","2026","pitching","all","Z-Contact%","64.0%","7"
"Ryan Bosch","Wake Forest","2026","pitching","all","Z-Contact%","64.4%","8"
"Blake Dean","Troy","2026","pitching","all","Z-Contact%","64.5%","9"
"Jaxon Shineflew","South Alabama","2026","pitching","all","Z-Contact%","64.6%","10"
"Brady Owens","Wichita State","2026","pitching","all","Z-Contact%","65.2%","11"
"Tim Baird","Marshall","2026","pitching","all","Z-Contact%","65.2%","11"
"Michael Malki","California Baptist","2026","pitching","all","Z-Contact%","65.9%","13"
"Matthew Martinez","Arizona","2026","pitching","all","Z-Contact%","66.0%","14"
"Zachary Peters","VCU","2026","pitching","all","Z-Contact%","66.0%","14"
"Fisher Cantrell","Jacksonville State","2026","pitching","all","Z-Contact%","66.7%","16"
"Jackson Kircher","Arkansas","2026","pitching","all","Z-Contact%","66.7%","16"
"Luke Schat","Nevada","2026","pitching","all","Z-Contact%","66.7%","16"
"Ryan Combs","Charlotte","2026","pitching","all","Z-Contact%","67.0%","19"
"Cole Carlon","Arizona State","2026","pitching","all","Z-Contact%","67.4%","20"
"Cal Randall","UCLA","2026","pitching","all","Z-Contact%","67.5%","21"
"Chase Olson","Nebraska","2026","pitching","all","Z-Contact%","67.5%","21"
"Joshua Whritenour","Florida","2026","pitching","all","Z-Contact%","67.6%","23"
"Mason Bixby","Oklahoma","2026","pitching","all","Z-Contact%","67.6%","23"
"Sean Fitzpatrick","Arizona State","2026","pitching","all","Z-Contact%","67.6%","23"
"Mason Lee","Bradley","2026","pitching","fastball","Z-Contact%","40.0%","1"
"Thomas Burns","Texas","2026","pitching","fastball","Z-Contact%","49.0%","2"
"Michael Fernandez","Miami","2026","pitching","fastball","Z-Contact%","50.0%","3"
"Josh Vaughn","Bradley","2026","pitching","fastball","Z-Contact%","50.0%","3"
"Tim Baird","Marshall","2026","pitching","fastball","Z-Contact%","51.9%","5"
"Grant Cleavinger","Nebraska","2026","pitching","fastball","Z-Contact%","52.9%","6"
"Gavyn Bowen","UNLV","2026","pitching","fastball","Z-Contact%","54.5%","7"
"Nicholas Mazzotta","Wagner","2026","pitching","fastball","Z-Contact%","55.6%","8"
"Brandon Stephens","Coppin State","2026","pitching","fastball","Z-Contact%","55.6%","8"
"Blake Dean","Troy","2026","pitching","fastball","Z-Contact%","56.3%","10"
"Haiden Leffew","Texas","2026","pitching","fastball","Z-Contact%","56.5%","11"
"Kanious Davis","Alcorn State","2026","pitching","fastball","Z-Contact%","57.9%","12"
"Ryan Bosch","Wake Forest","2026","pitching","fastball","Z-Contact%","59.4%","13"
"Josiah Shipley","Hawaii","2026","pitching","fastball","Z-Contact%","60.0%","14"
"Cooper Moore","Oral Roberts","2026","pitching","fastball","Z-Contact%","60.0%","14"
"John Gonzalez","Alabama State","2026","pitching","fastball","Z-Contact%","60.0%","14"
"Colton Cross","McNeese","2026","pitching","fastball","Z-Contact%","60.0%","14"
"Gavin Sitarz","UMass","2026","pitching","fastball","Z-Contact%","60.0%","14"
"Sean Fitzpatrick","Arizona State","2026","pitching","fastball","Z-Contact%","60.0%","14"
"Santi Garcia","LSU","2026","pitching","fastball","Z-Contact%","61.1%","20"
"Landon O'Donnell","USF","2026","pitching","fastball","Z-Contact%","61.3%","21"
"Will Haas","Tennessee","2026","pitching","fastball","Z-Contact%","61.5%","22"
"Dax Whitney","Oregon State","2026","pitching","fastball","Z-Contact%","61.5%","22"
"Rupert Blackwood","Southern","2026","pitching","fastball","Z-Contact%","62.5%","24"
"Luke Fricker","Missouri","2026","pitching","fastball","Z-Contact%","62.5%","24"
"Jordan Touhey","North Alabama","2026","pitching","slider","Z-Contact%","20.0%","1"
"Jack Joyce","Coppin State","2026","pitching","slider","Z-Contact%","35.7%","2"
"Landon White","Bryant","2026","pitching","slider","Z-Contact%","36.4%","3"
"David Perez","West Virginia","2026","pitching","slider","Z-Contact%","41.2%","4"
"Garret Plata","Pacific","2026","pitching","slider","Z-Contact%","44.4%","5"
"Elias Holbert","VCU","2026","pitching","slider","Z-Contact%","44.8%","6"
"Carson van Haaren","Eastern Kentucky","2026","pitching","slider","Z-Contact%","45.5%","7"
"Everett Vaughan","VCU","2026","pitching","slider","Z-Contact%","50.0%","8"
"Caleb Reed","Wichita State","2026","pitching","slider","Z-Contact%","50.0%","8"
"Elijah Underhill","Austin Peay","2026","pitching","slider","Z-Contact%","50.0%","8"
"DJ Merriweather","Austin Peay","2026","pitching","slider","Z-Contact%","50.0%","8"
"Jacob Faulkner","Vanderbilt","2026","pitching","slider","Z-Contact%","50.0%","8"
"Eli Skidmore","Missouri","2026","pitching","slider","Z-Contact%","50.0%","8"
"Tanner Bradley","Oregon","2026","pitching","slider","Z-Contact%","50.0%","8"
"Evan Jones","Wake Forest","2026","pitching","slider","Z-Contact%","50.0%","8"
"Michael Malki","California Baptist","2026","pitching","slider","Z-Contact%","51.7%","16"
"Mason Edwards","USC","2026","pitching","slider","Z-Contact%","52.0%","17"
"Jackson Mitchell","Binghamton","2026","pitching","slider","Z-Contact%","52.4%","18"
"Kevin Mannell","Nebraska","2026","pitching","slider","Z-Contact%","53.3%","19"
"Marcos Paz","LSU","2026","pitching","slider","Z-Contact%","53.8%","20"
"Liam Peterson","Florida","2026","pitching","slider","Z-Contact%","54.3%","21"
"Will Jordan","Texas Tech","2026","pitching","slider","Z-Contact%","54.5%","22"
"Matt Stuart","Gardner-Webb","2026","pitching","slider","Z-Contact%","54.5%","22"
"Hunter Dietz","Arkansas","2026","pitching","slider","Z-Contact%","54.5%","22"
"Tyler Seidman","Bucknell","2026","pitching","slider","Z-Contact%","55.6%","25"
"Henry Clausell","UMES","2026","pitching","changeup","Z-Contact%","0.0%","1"
"Noah Zimmerman","High Point","2026","pitching","changeup","Z-Contact%","36.8%","2"
"Brian Strange","Elon","2026","pitching","changeup","Z-Contact%","39.1%","3"
"DJ Merriweather","Austin Peay","2026","pitching","changeup","Z-Contact%","40.0%","4"
"Jett Humphreys","William & Mary","2026","pitching","changeup","Z-Contact%","40.0%","4"
"Liam Peterson","Florida","2026","pitching","changeup","Z-Contact%","41.7%","6"
"Thomas Crabtree","Southern Miss","2026","pitching","changeup","Z-Contact%","41.7%","6"
"Mason Edwards","USC","2026","pitching","changeup","Z-Contact%","42.3%","8"
"Tanner Bradley","Oregon","2026","pitching","changeup","Z-Contact%","42.4%","9"
"Braydon Sanford","Oral Roberts","2026","pitching","changeup","Z-Contact%","42.9%","10"
"Mason Murphy","Sam Houston State","2026","pitching","changeup","Z-Contact%","42.9%","10"
"Tyler Baird","Vanderbilt","2026","pitching","changeup","Z-Contact%","44.4%","12"
"Taylor Tracey","Tennessee","2026","pitching","changeup","Z-Contact%","45.0%","13"
"Levi Shaffer","Southeastern Louisiana","2026","pitching","changeup","Z-Contact%","45.0%","13"
"Zane Adams","Alabama","2026","pitching","changeup","Z-Contact%","45.2%","15"
"Gage Wheaton","Niagara","2026","pitching","changeup","Z-Contact%","45.8%","16"
"AJ Ciscar","Miami","2026","pitching","changeup","Z-Contact%","46.2%","17"
"Josh Gunther","South Carolina","2026","pitching","changeup","Z-Contact%","47.1%","18"
"Liam Smith","Pacific","2026","pitching","changeup","Z-Contact%","47.1%","18"
"Palmer O'Beirne","Samford","2026","pitching","changeup","Z-Contact%","47.4%","20"
"Maddox Miller","Mississippi State","2026","pitching","changeup","Z-Contact%","47.6%","21"
"Tomas Valincius","Mississippi State","2026","pitching","changeup","Z-Contact%","50.0%","22"
"Weston Rouse","Oral Roberts","2026","pitching","changeup","Z-Contact%","50.0%","22"
"Dylan Zentko","Murray State","2026","pitching","changeup","Z-Contact%","50.0%","22"
"Ashton Branson","Dallas Baptist","2026","pitching","changeup","Z-Contact%","50.0%","22"
"Pierson Howe","Pepperdine","2026","pitching","curveball","Z-Contact%","33.3%","1"
"Grant Parson","Indiana State","2026","pitching","curveball","Z-Contact%","33.3%","1"
"Brayden Bergman","Baylor","2026","pitching","curveball","Z-Contact%","40.0%","3"
"Titus Lotz","Bowling Green","2026","pitching","curveball","Z-Contact%","43.5%","4"
"Tate Foxson","UNLV","2026","pitching","curveball","Z-Contact%","50.0%","5"
"Brandon Stephens","Coppin State","2026","pitching","curveball","Z-Contact%","50.0%","5"
"Aaden Lopez","Coppin State","2026","pitching","curveball","Z-Contact%","50.0%","5"
"Brady Fox","UMBC","2026","pitching","curveball","Z-Contact%","50.0%","5"
"Cooper Lewis","Georgia State","2026","pitching","curveball","Z-Contact%","50.0%","5"
"Stratton Scott","East Tennessee State","2026","pitching","curveball","Z-Contact%","53.3%","10"
"Logan Pikur","Michigan State","2026","pitching","curveball","Z-Contact%","53.3%","10"
"Hunter Colagrande","Stony Brook","2026","pitching","curveball","Z-Contact%","54.5%","12"
"Trae Burton","Jackson State","2026","pitching","curveball","Z-Contact%","55.6%","13"
"Hank Lippman","William & Mary","2026","pitching","curveball","Z-Contact%","57.1%","14"
"Adrian Quezada","Queens (NC)","2026","pitching","curveball","Z-Contact%","57.1%","14"
"Bryson Moore","Florida State","2026","pitching","curveball","Z-Contact%","57.9%","16"
"Mason Edwards","USC","2026","pitching","curveball","Z-Contact%","58.3%","17"
"Jake Moss","Penn","2026","pitching","curveball","Z-Contact%","58.8%","18"
"Liam Peterson","Florida","2026","pitching","curveball","Z-Contact%","60.0%","19"
"Ty Thames","Rice","2026","pitching","curveball","Z-Contact%","60.0%","19"
"McKale Stevenson","Belmont","2026","pitching","curveball","Z-Contact%","60.0%","19"
"Lorcan Lee","UMass","2026","pitching","curveball","Z-Contact%","60.0%","19"
"Hunter Dietz","Arkansas","2026","pitching","curveball","Z-Contact%","61.5%","23"
"Wyatt Nadeau","Vanderbilt","2026","pitching","curveball","Z-Contact%","61.5%","23"
"Zach Crotchfelt","Troy","2026","pitching","curveball","Z-Contact%","61.5%","23"
"Luke Meyers","Washington State","2026","pitching","cutter","Z-Contact%","53.8%","1"
"Francesco Capocci","UNC Wilmington","2026","pitching","cutter","Z-Contact%","55.6%","2"
"Andrew Rogovic","Northeastern","2026","pitching","cutter","Z-Contact%","56.1%","3"
"Noah Allen","Ole Miss","2026","pitching","cutter","Z-Contact%","57.1%","4"
"Brady Bowen","Akron","2026","pitching","cutter","Z-Contact%","57.7%","5"
"Gavin Van Kempen","East Carolina","2026","pitching","cutter","Z-Contact%","57.9%","6"
"Kaleb Applebey","Austin Peay","2026","pitching","cutter","Z-Contact%","61.1%","7"
"Rhys Bowie","Wake Forest","2026","pitching","cutter","Z-Contact%","61.1%","7"
"Jackson Sanders","Auburn","2026","pitching","cutter","Z-Contact%","61.7%","9"
"Dylan Volantis","Texas","2026","pitching","cutter","Z-Contact%","62.2%","10"
"Owen Hancock","Ole Miss","2026","pitching","cutter","Z-Contact%","62.5%","11"
"Ryder Jeske","Towson","2026","pitching","cutter","Z-Contact%","62.5%","11"
"Landon Mack","Tennessee","2026","pitching","cutter","Z-Contact%","63.2%","13"
"Noah Czajkowski","Pittsburgh","2026","pitching","cutter","Z-Contact%","63.6%","14"
"Landon Waters","Ole Miss","2026","pitching","cutter","Z-Contact%","64.0%","15"
"Derek Bartek","Fairleigh Dickinson","2026","pitching","cutter","Z-Contact%","64.3%","16"
"Tyler Roark","UL Monroe","2026","pitching","cutter","Z-Contact%","64.3%","16"
"Matt Nochowitz","Duke","2026","pitching","cutter","Z-Contact%","64.7%","18"
"Hayden Cody","San Diego","2026","pitching","cutter","Z-Contact%","65.0%","19"
"Ruger Riojas","Texas","2026","pitching","cutter","Z-Contact%","65.6%","20"
"Wil Libbert","Ole Miss","2026","pitching","cutter","Z-Contact%","65.9%","21"
"Brady Pendley","Georgia Southern","2026","pitching","cutter","Z-Contact%","66.0%","22"
"Owen Simmons","Campbell","2026","pitching","cutter","Z-Contact%","66.7%","23"
"Tate DeRias","Miami","2026","pitching","cutter","Z-Contact%","66.7%","23"
"Hunter Dietz","Arkansas","2026","pitching","cutter","Z-Contact%","66.7%","23"
"Jackson Bergman","Indiana","2026","pitching","all","Zone%","60.5%","1"
"Logan Moller","Tennessee Tech","2026","pitching","all","Zone%","60.0%","2"
"Dylan Banner","Albany","2026","pitching","all","Zone%","59.0%","3"
"Clayton Freshcorn","Texas A&M","2026","pitching","all","Zone%","58.4%","4"
"Justin Gay","Richmond","2026","pitching","all","Zone%","57.9%","5"
"David Thomas","San Jose State","2026","pitching","all","Zone%","57.7%","6"
"Mateo Gray","UCF","2026","pitching","all","Zone%","57.7%","6"
"Mikiah Negrete","Cal State Fullerton","2026","pitching","all","Zone%","57.6%","8"
"JT Raab","Georgetown","2026","pitching","all","Zone%","57.6%","8"
"Owen Cavey","Belmont","2026","pitching","all","Zone%","57.5%","10"
"Bryan Matuschat","Sacred Heart","2026","pitching","all","Zone%","57.4%","11"
"Sam Novotny","South Dakota State","2026","pitching","all","Zone%","57.4%","11"
"Landon Fuller","Incarnate Word","2026","pitching","all","Zone%","57.3%","13"
"Kevin Robinson","Northwestern State","2026","pitching","all","Zone%","57.2%","14"
"Thomas Shurtleff","Penn","2026","pitching","all","Zone%","57.2%","14"
"Cooper Moore","LSU","2026","pitching","all","Zone%","57.1%","16"
"Cole Hubert","Texas A&M","2026","pitching","all","Zone%","57.1%","16"
"Dominic Mauro","Cincinnati","2026","pitching","all","Zone%","57.0%","18"
"Ryan Furey","North Florida","2026","pitching","all","Zone%","57.0%","18"
"Kyle Powers","Jacksonville","2026","pitching","all","Zone%","56.9%","20"
"Isaac Morton","Minnesota","2026","pitching","all","Zone%","56.5%","21"
"Cam Appenzeller","Tennessee","2026","pitching","all","Zone%","56.4%","22"
"Eli Tyndall","VMI","2026","pitching","all","Zone%","56.4%","22"
"Grant Fontenot","LSU","2026","pitching","all","Zone%","56.3%","24"
"Drew Turner","UNC Asheville","2026","pitching","all","Zone%","56.3%","24"
"Austin Nye","Vanderbilt","2026","pitching","fastball","Zone%","71.4%","1"
"Justin Gay","Richmond","2026","pitching","fastball","Zone%","70.9%","2"
"Bryan Matuschat","Sacred Heart","2026","pitching","fastball","Zone%","70.3%","3"
"Drew Siegner","Longwood","2026","pitching","fastball","Zone%","67.3%","4"
"Sean McGrath","Cal Poly","2026","pitching","fastball","Zone%","67.2%","5"
"Harrison Wilson","Winthrop","2026","pitching","fastball","Zone%","66.9%","6"
"Timmy Virtudes","Navy","2026","pitching","fastball","Zone%","66.0%","7"
"Clayton Freshcorn","Texas A&M","2026","pitching","fastball","Zone%","65.9%","8"
"Owen Cavey","Belmont","2026","pitching","fastball","Zone%","65.5%","9"
"Heitaro Hayashi","Wichita State","2026","pitching","fastball","Zone%","65.3%","10"
"Landon Fuller","Incarnate Word","2026","pitching","fastball","Zone%","65.1%","11"
"Eli Thurmond","Notre Dame","2026","pitching","fastball","Zone%","65.0%","12"
"Alec Beversdorf","Texas State","2026","pitching","fastball","Zone%","64.6%","13"
"Eli Baker","Radford","2026","pitching","fastball","Zone%","64.6%","13"
"JC Gutierrez","UTRGV","2026","pitching","fastball","Zone%","64.5%","15"
"David Thomas","San Jose State","2026","pitching","fastball","Zone%","64.5%","15"
"Eddie White","Southeast Missouri","2026","pitching","fastball","Zone%","64.1%","17"
"Kevin Jaxel","Virginia","2026","pitching","fastball","Zone%","63.9%","18"
"Xavier Hirsch","Notre Dame","2026","pitching","fastball","Zone%","63.8%","19"
"Jackson Bergman","Indiana","2026","pitching","fastball","Zone%","63.8%","19"
"Jaden Winter","Charlotte","2026","pitching","fastball","Zone%","63.5%","21"
"Rob Evans","Miami","2026","pitching","fastball","Zone%","63.3%","22"
"Mateo Gray","UCF","2026","pitching","fastball","Zone%","63.3%","22"
"Rocco Bernadina","Kent State","2026","pitching","fastball","Zone%","63.1%","24"
"Ryan Furey","North Florida","2026","pitching","fastball","Zone%","63.0%","25"
"Sam Novotny","South Dakota State","2026","pitching","slider","Zone%","70.5%","1"
"Mateo Gray","UCF","2026","pitching","slider","Zone%","67.8%","2"
"Benjamin Hudson","Penn State","2026","pitching","slider","Zone%","66.4%","3"
"Kainoa Kaneshiro","Nevada","2026","pitching","slider","Zone%","63.6%","4"
"Nathan Huy","UC San Diego","2026","pitching","slider","Zone%","62.9%","5"
"Logan Moller","Tennessee Tech","2026","pitching","slider","Zone%","62.3%","6"
"Andrew Rudd","California Baptist","2026","pitching","slider","Zone%","62.2%","7"
"Brett Renfrow","Virginia Tech","2026","pitching","slider","Zone%","62.2%","7"
"Regan Hall","Illinois","2026","pitching","slider","Zone%","62.1%","9"
"Joseph Curreri","Hofstra","2026","pitching","slider","Zone%","61.8%","10"
"Brayden Zilis","Illinois State","2026","pitching","slider","Zone%","61.8%","10"
"Cole Hubert","Texas A&M","2026","pitching","slider","Zone%","61.6%","12"
"Andrew Luczak","Pittsburgh","2026","pitching","slider","Zone%","61.6%","12"
"Conner Frail","College of Charleston","2026","pitching","slider","Zone%","61.4%","14"
"Evan Esch","St. Thomas (MN)","2026","pitching","slider","Zone%","61.3%","15"
"Kellen Davis","Old Dominion","2026","pitching","slider","Zone%","61.3%","15"
"Joel Piñeiro","Cincinnati","2026","pitching","slider","Zone%","61.0%","17"
"Adam Troy","USC","2026","pitching","slider","Zone%","60.8%","18"
"Michael Yusypchuk","Missouri State","2026","pitching","slider","Zone%","60.4%","19"
"Joey Giordano","Richmond","2026","pitching","slider","Zone%","60.4%","19"
"Ryan Sheehy","Old Dominion","2026","pitching","slider","Zone%","59.7%","21"
"Dylan Banner","Albany","2026","pitching","slider","Zone%","59.3%","22"
"Brendon Bennett","Clemson","2026","pitching","slider","Zone%","58.8%","23"
"Bryce Cruz","Pacific","2026","pitching","slider","Zone%","58.8%","23"
"Zak Sigman","Ohio State","2026","pitching","slider","Zone%","58.7%","25"
"LJ Cormier","Auburn","2026","pitching","changeup","Zone%","67.9%","1"
"Ivan Mastalski","Indiana","2026","pitching","changeup","Zone%","67.6%","2"
"Raymond Olivas","UC Santa Barbara","2026","pitching","changeup","Zone%","63.0%","3"
"Drew Turner","UNC Asheville","2026","pitching","changeup","Zone%","62.1%","4"
"Connor Nation","Louisiana Tech","2026","pitching","changeup","Zone%","60.7%","5"
"Mikiah Negrete","Cal State Fullerton","2026","pitching","changeup","Zone%","60.7%","5"
"Cooper Moore","LSU","2026","pitching","changeup","Zone%","58.9%","7"
"Tyler Do","New Mexico","2026","pitching","changeup","Zone%","57.7%","8"
"Sam Novotny","South Dakota State","2026","pitching","changeup","Zone%","57.6%","9"
"Justin Byrd","Georgia","2026","pitching","changeup","Zone%","57.4%","10"
"Noah Rooney","Notre Dame","2026","pitching","changeup","Zone%","56.3%","11"
"Andrew Rubayo","Quinnipiac","2026","pitching","changeup","Zone%","56.0%","12"
"Nate Vargo","Mercyhurst","2026","pitching","changeup","Zone%","55.3%","13"
"Brandon Hsu","George Mason","2026","pitching","changeup","Zone%","55.2%","14"
"Josh Torres","UC Riverside","2026","pitching","changeup","Zone%","55.0%","15"
"Seanan Farney","Stephen F. Austin","2026","pitching","changeup","Zone%","54.7%","16"
"Ben Smith","Houston Christian","2026","pitching","changeup","Zone%","54.5%","17"
"Andrew Heffernan","Bowling Green","2026","pitching","changeup","Zone%","54.5%","17"
"Luke Hemric","NC State","2026","pitching","changeup","Zone%","54.5%","17"
"Chase Horst","Jacksonville State","2026","pitching","changeup","Zone%","54.4%","20"
"Beau Beaty","Prairie View","2026","pitching","changeup","Zone%","54.2%","21"
"Reece McDuffie","Tennessee Tech","2026","pitching","changeup","Zone%","54.1%","22"
"CJ Patterson","Norfolk State","2026","pitching","changeup","Zone%","54.1%","22"
"Mason Buss","Illinois-Chicago","2026","pitching","changeup","Zone%","53.7%","24"
"Ethan Sutton","USF","2026","pitching","changeup","Zone%","53.7%","24"
"Brady Bouchard","Binghamton","2026","pitching","curveball","Zone%","59.7%","1"
"Matt Champion","Loyola Marymount","2026","pitching","curveball","Zone%","59.4%","2"
"Noah Andrunas","Saint Louis","2026","pitching","curveball","Zone%","58.1%","3"
"Colton Sneddon","New Mexico State","2026","pitching","curveball","Zone%","57.9%","4"
"Brandon Bak","Illinois-Chicago","2026","pitching","curveball","Zone%","57.9%","4"
"Jake Marchesano","Delaware","2026","pitching","curveball","Zone%","57.7%","6"
"Jackson Soucie","Kentucky","2026","pitching","curveball","Zone%","57.7%","6"
"Ethan Calder","Baylor","2026","pitching","curveball","Zone%","57.6%","8"
"Wesley Marien","Northwestern State","2026","pitching","curveball","Zone%","57.4%","9"
"Carlos Martinez","Hofstra","2026","pitching","curveball","Zone%","55.9%","10"
"Ruger Riojas","Texas","2026","pitching","curveball","Zone%","55.7%","11"
"Matt Goldenbaum","Creighton","2026","pitching","curveball","Zone%","55.6%","12"
"Haden Luke","Nicholls","2026","pitching","curveball","Zone%","55.4%","13"
"Cooper Moore","LSU","2026","pitching","curveball","Zone%","55.2%","14"
"Tanner Graham","Evansville","2026","pitching","curveball","Zone%","55.2%","14"
"Alex Sobol","UNC Wilmington","2026","pitching","curveball","Zone%","55.1%","16"
"Gavin Eddy","California","2026","pitching","curveball","Zone%","54.6%","17"
"Jared Schaeffer","Dallas Baptist","2026","pitching","curveball","Zone%","54.5%","18"
"Nuno Parache","Nicholls","2026","pitching","curveball","Zone%","54.0%","19"
"Evan Lichtenauer","Ohio","2026","pitching","curveball","Zone%","54.0%","19"
"Dalton Robinson","Florida Atlantic","2026","pitching","curveball","Zone%","53.8%","21"
"Owen Quinn","Ball State","2026","pitching","curveball","Zone%","53.5%","22"
"Andrew Rudd","California Baptist","2026","pitching","curveball","Zone%","53.3%","23"
"Patrick Bauer","James Madison","2026","pitching","curveball","Zone%","53.3%","23"
"Jaxon Jelkin","Kentucky","2026","pitching","curveball","Zone%","53.2%","25"
"Shane Sdao","Texas A&M","2026","pitching","cutter","Zone%","67.0%","1"
"Dominic Mauro","Cincinnati","2026","pitching","cutter","Zone%","65.8%","2"
"Lance Williams","Maryland","2026","pitching","cutter","Zone%","64.5%","3"
"Trey Rutledge","Air Force","2026","pitching","cutter","Zone%","64.4%","4"
"A.J. Colarusso","Boston College","2026","pitching","cutter","Zone%","64.0%","5"
"Dylan Volantis","Texas","2026","pitching","cutter","Zone%","64.0%","5"
"Beau Elson","Fordham","2026","pitching","cutter","Zone%","63.9%","7"
"Brandon Stone","South Carolina","2026","pitching","cutter","Zone%","63.6%","8"
"Erik Hoffberg","Gonzaga","2026","pitching","cutter","Zone%","62.7%","9"
"Doug Marose","Delaware","2026","pitching","cutter","Zone%","62.5%","10"
"Brody Walls","Texas","2026","pitching","cutter","Zone%","62.5%","10"
"Wes Mendes","Florida State","2026","pitching","cutter","Zone%","61.9%","12"
"Kris Sosnowski","UCF","2026","pitching","cutter","Zone%","61.8%","13"
"Ross Yoshida","Cornell","2026","pitching","cutter","Zone%","61.5%","14"
"Thomas Shurtleff","Penn","2026","pitching","cutter","Zone%","61.3%","15"
"Chris Torres","USC Upstate","2026","pitching","cutter","Zone%","61.1%","16"
"Parker Coil","Arkansas","2026","pitching","cutter","Zone%","60.7%","17"
"Garrett Grant","Florida Atlantic","2026","pitching","cutter","Zone%","60.5%","18"
"Tristan Helmick","Lafayette","2026","pitching","cutter","Zone%","60.5%","18"
"Bromley Thornton","UNC Wilmington","2026","pitching","cutter","Zone%","60.5%","18"
"Luke Harrison","Texas","2026","pitching","cutter","Zone%","60.2%","21"
"Lucas Davenport","Baylor","2026","pitching","cutter","Zone%","60.2%","21"
"Brett Crossland","Texas","2026","pitching","cutter","Zone%","60.0%","23"
"Seth Benes","Lindenwood","2026","pitching","cutter","Zone%","60.0%","23"
"Cam Bagwell","Wake Forest","2026","pitching","cutter","Zone%","59.6%","25"
"Hunter Hargett","Santa Clara","2026","pitching","all","Shadow Zone%","43.6%","1"
"Cal Travers","Longwood","2026","pitching","all","Shadow Zone%","42.2%","2"
"Reuben Malamed","Niagara","2026","pitching","all","Shadow Zone%","41.8%","3"
"Cooper Gilkerson","Wright State","2026","pitching","all","Shadow Zone%","41.8%","3"
"Gavin Townsend","Wagner","2026","pitching","all","Shadow Zone%","41.7%","5"
"Paul Wheeler","San Francisco","2026","pitching","all","Shadow Zone%","41.5%","6"
"Cameron Nielson","Utah","2026","pitching","all","Shadow Zone%","40.7%","7"
"Cole Schiff","Bryant","2026","pitching","all","Shadow Zone%","40.6%","8"
"PJ Rogan","Sacred Heart","2026","pitching","all","Shadow Zone%","40.3%","9"
