64 Rk - wRCE,Year,Name,School,Position,Classification,G,AVG,OBP,SLG,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,SO,CS,PO,SB,IBB,PA
"1008","2026","Luca Reyes","FIU","LF","So","29","0.211","0.357","0.433","14","90","19","3","1","39","5","21","12","9","1","0","43","1","0","0","1","112"
"1009","2026","J.T. Simonelli","Northwestern St.","LF","Jr","27","0.270","0.360","0.500","15","74","20","5","0","37","4","13","5","6","1","0","26","0","0","2","0","86"
"1010","2026","Blake Coleman","Ark.-Pine Bluff","RF","So","33","0.339","0.444","0.527","28","112","38","5","2","59","4","33","13","9","1","0","17","2","0","2","0","135"
"1011","2026","Trevor Smith","Washington St.","CF","Fr","21","0.351","0.479","0.554","15","74","26","6","3","41","1","12","14","5","1","2","12","2","0","2","0","96"
"1012","2026","Noah Ruiz","Northwestern","1B","Sr","27","0.270","0.345","0.450","17","100","27","6","0","45","4","21","7","5","1","3","11","0","0","0","0","116"
"1013","2026","Ty Fox","Massachusetts","CF","Fr","23","0.321","0.417","0.543","16","81","26","5","2","44","3","19","13","1","1","1","19","1","1","8","1","97"
"1014","2026","Riley Iffrig","Saint Louis","1B","Jr","31","0.284","0.378","0.388","17","116","33","6","0","45","2","19","14","4","1","1","18","0","0","0","0","136"
"1015","2026","Robbie Lavey","George Washington","C","Jr","29","0.333","0.459","0.481","20","108","36","7","0","52","3","21","24","1","0","0","22","2","0","1","0","133"
"1016","2026","Christian Hamilton","Georgetown","RF","So","27","0.300","0.472","0.550","23","80","24","3","1","44","5","18","26","1","1","0","23","2","0","4","0","108"
"1017","2026","Cade Campbell","California","3B","Sr","30","0.287","0.333","0.461","15","115","33","5","0","53","5","13","7","2","2","0","29","1","0","1","0","126"
"1018","2026","Adrian Jimenez","Charlotte","3B","So","31","0.253","0.377","0.354","17","99","25","3","2","35","1","12","16","5","2","3","15","0","0","2","0","125"
"1019","2026","John Hale","Eastern Mich.","CF","Sr","28","0.286","0.435","0.418","18","91","26","6","0","38","2","11","15","9","0","0","15","0","0","4","0","115"
"1020","2026","Colby Thorndyke","Coastal Carolina","1B","So","30","0.243","0.319","0.330","19","103","25","6","0","34","1","10","10","3","3","3","25","1","2","10","1","122"
"1021","2026","Lee Matsuzaki","Nevada","LF","Sr","18","0.359","0.432","0.578","17","64","23","5","0","37","3","12","6","3","1","1","13","1","0","3","1","75"
"1022","2026","CJ Griggs","Hofstra","DH","So","26","0.280","0.483","0.439","17","82","23","4","0","36","3","22","27","6","1","0","15","0","0","2","1","116"
"1023","2026","Jackson Waller","Nevada","SS","Sr","27","0.305","0.377","0.505","22","95","29","5","1","48","4","28","13","1","5","0","17","1","0","3","0","114"
"1024","2026","Caden Sheridan","Morehead St.","C","So","30","0.241","0.353","0.536","24","112","27","6","0","60","9","23","18","3","3","1","20","0","0","1","0","137"
"1025","2026","David Mendez","Maryland","2B","Jr","28","0.271","0.336","0.407","25","118","32","4","0","48","4","14","7","6","3","1","19","2","0","7","0","135"
"1026","2026","Bradley Navarro","Utah","DH","Jr","18","0.321","0.465","0.536","9","56","18","6","0","30","2","10","11","4","0","0","13","1","0","2","0","71"
"1027","2026","Brady Ladusau","Abilene Christian","LF","Fr","28","0.318","0.425","0.477","20","88","28","4","2","42","2","16","13","4","1","0","19","2","1","3","0","106"
"1028","2026","Keegan Giger","Nicholls","2B","Jr","33","0.254","0.303","0.380","20","142","36","4","1","54","4","27","10","1","2","0","27","3","1","9","0","155"
"1029","2026","Khaleel Pratt","Eastern Ky.","RF","Fr","32","0.223","0.444","0.476","25","103","23","2","0","49","8","17","24","17","0","0","23","1","1","8","1","144"
"1030","2026","Rocco Garza-Gongora","UTRGV","CF","Jr","32","0.287","0.404","0.426","34","129","37","9","0","55","3","17","19","7","1","0","29","4","0","8","0","156"
"1031","2026","Charlie Isom-McCall","Lindenwood","SS","So","31","0.279","0.369","0.393","19","122","34","8","0","48","2","16","16","2","1","0","19","5","1","15","0","141"
"1032","2026","Noah Sheffield","Florida St.","DH","So","27","0.275","0.355","0.473","24","91","25","9","0","43","3","27","9","4","3","0","21","0","0","2","0","107"
"1033","2026","Jacob Gillis","Ball St.","1B","Jr","30","0.345","0.417","0.584","20","113","39","6","0","66","7","28","13","3","3","0","15","0","0","0","3","132"
"1034","2026","Drew Howard","Western Mich.","2B","Sr","28","0.377","0.492","0.481","26","106","40","6","1","51","1","20","16","8","0","5","11","1","0","5","0","135"
"1035","2026","Michael Whooley","Villanova","SS","Sr","27","0.259","0.344","0.444","18","108","28","6","1","48","4","20","15","1","4","0","24","1","0","8","0","128"
"1036","2026","Kanoa Morisaki","CSU Bakersfield","C","Jr","29","0.345","0.491","0.583","19","84","29","8","0","49","4","18","19","5","0","0","21","2","0","2","1","108"
"1037","2026","Jarren Sanderson","UC Riverside","LF","Jr","26","0.283","0.302","0.478","13","92","26","4","1","44","4","22","1","2","1","0","26","1","1","2","0","96"
"1038","2026","Wes Walker","North Ala.","C","So","28","0.293","0.400","0.554","17","92","27","7","1","51","5","26","16","1","1","0","21","0","0","0","0","110"
"1039","2026","Sean Darnell","Troy","2B","Sr","32","0.255","0.361","0.391","18","110","28","5","2","43","2","24","17","3","3","2","28","0","0","4","0","135"
"1040","2026","Henry Cooke","Virginia Tech","C","Sr","27","0.195","0.324","0.329","11","82","16","5","0","27","2","12","13","4","3","1","35","0","0","2","0","103"
"1041","2026","Drew Grego","Nebraska","LF","Fr","25","0.316","0.404","0.513","16","76","24","4","1","39","3","17","7","5","1","0","14","2","0","1","0","89"
"1042","2026","Frank Adamski Jr.","Towson","3B","Jr","28","0.304","0.397","0.402","17","102","31","6","2","41","0","24","12","5","2","2","19","3","0","4","0","123"
"1043","2026","Cade Carr","Samford","2B","Jr","30","0.308","0.412","0.486","19","107","33","4","0","52","5","23","18","3","3","0","19","0","0","0","0","131"
"1044","2026","Charlie Longmeier","Evansville","DH","Jr","29","0.303","0.341","0.420","18","119","36","8","0","50","2","15","8","0","2","0","14","3","1","3","0","129"
"1045","2026","Colin Richter","Monmouth","CF","So","28","0.235","0.407","0.447","21","85","20","3","3","38","3","19","17","9","2","1","33","4","0","9","0","114"
"1046","2026","Blake Binderup","Texas A&M","DH","Jr","18","0.362","0.492","0.809","16","47","17","3","0","38","6","23","9","4","1","1","21","1","0","1","0","62"
"1047","2026","Danny Barbero","McNeese","RF","Sr","29","0.315","0.449","0.514","27","111","35","7","0","57","5","32","23","4","0","0","24","0","1","2","2","138"
"1048","2026","Andrew Ildefonso","FIU","LF","So","32","0.265","0.344","0.409","19","132","35","8","1","54","3","21","10","7","2","0","11","2","0","2","1","151"
"1049","2026","KaiKea Harrison","Tulane","SS","Sr","33","0.287","0.352","0.427","33","143","41","11","0","61","3","25","12","3","1","2","23","4","0","6","0","161"
"1050","2026","Jake Sanko","Grand Canyon","3B","So","26","0.356","0.409","0.446","13","101","36","6","0","45","1","17","8","3","3","1","16","2","0","3","0","116"
"1051","2026","Robert Tate Jr.","Jackson St.","3B","Jr","32","0.343","0.393","0.489","31","137","47","2","3","67","4","26","11","1","1","3","26","1","0","8","0","153"
"1052","2026","Aidan Taclas","New Mexico St.","DH","Sr","28","0.340","0.450","0.500","32","106","36","9","1","53","2","22","16","7","2","0","12","2","0","9","0","131"
"1053","2026","Josh Overbeek","Nebraska","3B","Sr","27","0.247","0.393","0.381","21","97","24","6","2","37","1","11","12","12","1","1","20","0","0","2","0","123"
"1054","2026","Justin Osterhouse","Alabama","LF","Jr","31","0.230","0.393","0.379","18","87","20","4","0","33","3","15","18","6","1","1","20","1","1","7","0","113"
"1055","2026","Danny Wyatt","UMBC","DH","Jr","24","0.298","0.425","0.488","21","84","25","8","1","41","2","21","13","7","2","1","16","3","0","1","0","107"
"1056","2026","Blaize Ward","Missouri","2B","Fr","21","0.338","0.446","0.441","15","68","23","5","1","30","0","17","7","7","1","2","11","0","0","1","0","85"
"1057","2026","Nolan Freund","Little Rock","3B","Jr","28","0.333","0.394","0.483","15","87","29","4","0","42","3","15","7","3","2","0","5","0","0","1","0","99"
"1058","2026","Michael Cruz","Nevada","1B","Sr","15","0.480","0.565","0.920","15","50","24","4","0","46","6","20","8","3","1","0","4","0","0","0","1","62"
"1059","2026","Blake Bradford","West Ga.","CF","Sr","30","0.329","0.398","0.482","12","85","28","4","0","41","3","13","5","6","2","3","16","3","0","3","0","101"
"1060","2026","Michael Kuska","Valparaiso","CF","So","26","0.322","0.398","0.391","14","87","28","2","2","34","0","13","10","1","0","2","14","0","0","1","0","100"
"1061","2026","Brett Griffiths","Ball St.","SS","Sr","30","0.300","0.374","0.508","23","120","36","11","4","61","2","21","10","6","3","1","21","3","0","5","0","140"
"1062","2026","Andrew Mhoon","LMU (CA)","2B","Fr","30","0.287","0.385","0.426","16","94","27","4","0","40","3","14","11","4","0","0","27","0","0","5","0","109"
"1063","2026","Abbrie Covarrubias","Southern California","2B","Jr","30","0.291","0.408","0.410","31","117","34","4","2","48","2","14","19","5","1","0","20","2","2","14","1","142"
"1064","2026","Jackson LaLima","Houston","3B","So","29","0.238","0.328","0.505","19","101","24","10","1","51","5","16","9","5","1","0","32","1","0","3","0","116"
"1065","2026","Brendan O'Sullivan","Pacific","2B","Sr","30","0.278","0.380","0.398","18","108","30","8","1","43","1","18","17","2","2","4","19","1","0","6","1","133"
"1066","2026","Sam Gates","Virginia Tech","RF","","29","0.239","0.382","0.409","16","88","21","4","1","36","3","15","18","3","1","1","27","2","0","8","0","111"
"1067","2026","Sebastian Mexico","Louisiana Tech","DH","Sr","31","0.289","0.367","0.412","15","114","33","10","2","47","0","17","10","4","0","0","20","0","0","0","0","128"
"1068","2026","Smith Chandler","Long Beach St.","LF","Jr","22","0.319","0.447","0.522","15","69","22","3","1","36","3","15","13","3","0","1","16","1","0","4","0","86"
"1069","2026","Marc Quarrie","Wofford","RF","Jr","14","0.370","0.453","0.717","10","46","17","4","0","33","4","13","7","0","0","0","11","0","2","2","0","53"
"1070","2026","Ike Shirey","Tarleton St.","SS","Sr","28","0.288","0.398","0.423","16","104","30","2","3","44","2","23","15","4","0","2","18","2","0","7","0","125"
"1071","2026","Hunter Carns","Florida St.","C","So","23","0.351","0.457","0.514","15","74","26","7","1","38","1","11","14","2","2","0","22","0","0","0","0","92"
"1072","2026","Brady Bean","Portland","CF","Sr","29","0.288","0.359","0.466","27","118","34","6","0","55","5","20","10","3","0","1","29","3","0","6","1","132"
"1073","2026","Jake Minarik","UNC Asheville","RF","So","30","0.279","0.382","0.441","26","111","31","4","1","49","4","19","16","3","1","0","21","0","1","2","0","131"
"1074","2026","Sherman Johnson II","NC State","3B","Jr","30","0.341","0.432","0.407","17","91","31","1","1","37","1","19","11","6","3","1","15","2","0","8","0","112"
"1075","2026","John Martinez","Fla. Atlantic","2B","So","31","0.287","0.336","0.385","14","122","35","6","0","47","2","19","9","0","0","3","14","1","1","5","0","134"
"1076","2026","Juan De la Cruz","Stetson","2B","Jr","30","0.337","0.489","0.406","27","101","34","7","0","41","0","8","22","8","0","3","11","1","0","18","1","134"
"1077","2026","Brooks Leonard","Northwestern St.","RF","Jr","29","0.361","0.458","0.426","28","122","44","4","2","52","0","14","11","11","0","0","13","4","0","13","0","144"
"1078","2026","Ryan Pruitt","South Fla.","CF","Sr","32","0.283","0.395","0.400","37","120","34","9","1","48","1","24","25","1","6","0","11","3","0","17","0","152"
"1079","2026","Noah Murray","Virginia","3B","Jr","33","0.181","0.393","0.381","32","105","19","4","1","40","5","23","35","3","2","1","35","1","0","4","0","146"
"1080","2026","Pete Daniel","Virginia Tech","SS","Jr","26","0.305","0.457","0.415","19","82","25","6","0","34","1","13","19","4","0","1","23","1","1","5","0","106"
"1081","2026","Kendyl Johnson","Tarleton St.","CF","So","31","0.284","0.409","0.422","25","109","31","10","1","46","1","13","18","5","0","3","36","1","1","7","1","135"
"1082","2026","Hayden Miller","Bradley","2B","Sr","31","0.215","0.400","0.458","29","107","23","5","0","49","7","20","13","20","0","0","50","0","0","13","0","140"
"1083","2026","Anthony Marnell IV","San Diego St.","DH","So","29","0.292","0.349","0.417","12","96","28","6","0","40","2","20","10","0","3","2","33","0","0","0","0","111"
"1084","2026","Michael Crossland","UC San Diego","CF","Jr","27","0.205","0.316","0.429","20","112","23","4","0","48","7","17","15","4","2","1","27","3","0","0","0","134"
"1085","2026","Conlan Daniel","Cincinnati","CF","So","31","0.247","0.374","0.355","23","93","23","3","2","33","1","13","13","7","2","2","38","2","1","12","0","117"
"1086","2026","Boston Kellner","Texas A&M","SS","Fr","31","0.283","0.485","0.489","29","92","26","7","0","45","4","22","30","7","1","1","18","0","1","1","0","131"
"1087","2026","Will Millard","North Ala.","C","Jr","26","0.293","0.402","0.535","19","99","29","6","0","53","6","16","15","3","0","1","14","0","1","0","0","118"
"1088","2026","Luke Elmore","Air Force","1B","Jr","29","0.286","0.388","0.429","28","112","32","8","1","48","2","32","15","5","2","1","26","2","0","9","0","135"
"1089","2026","Armando Hurtado","Coppin St.","LF","Jr","24","0.315","0.495","0.644","20","73","23","7","1","47","5","28","17","10","1","1","27","0","0","0","0","102"
"1090","2026","Jacob Wrubleski","Gonzaga","C","Jr","16","0.353","0.433","0.608","10","51","18","4","0","31","3","8","6","2","1","1","12","0","0","1","0","61"
"1091","2026","Nolan Grawe","South Dakota St.","3B","So","26","0.304","0.367","0.473","22","112","34","12","2","53","1","23","11","2","3","2","12","1","0","4","0","130"
"1092","2026","Grant MacArthur","Pacific","3B","Jr","29","0.272","0.410","0.370","16","92","25","3","0","34","2","17","17","6","2","0","19","0","0","1","0","117"
"1093","2026","Jack Kail","Columbia","SS","Sr","20","0.310","0.355","0.417","10","84","26","6","0","35","1","19","6","1","2","0","6","0","1","3","0","93"
"1094","2026","Austin Jacobs","UCF","2B","Fr","20","0.317","0.411","0.397","16","63","20","2","0","25","1","17","8","2","0","5","15","0","0","3","0","78"
"1095","2026","Tyler Cox","Houston","SS","Sr","30","0.306","0.409","0.378","19","98","30","2","1","37","1","13","13","4","0","8","7","2","0","3","0","123"
"1096","2026","William Johnson","Old Dominion","SS","Jr","30","0.308","0.400","0.421","24","107","33","6","0","45","2","14","9","8","1","1","14","2","1","6","0","126"
"1097","2026","Michael Carrano Jr","Illinois St.","1B","Jr","18","0.364","0.475","0.788","8","33","12","3","1","26","3","8","4","3","0","0","3","0","0","2","0","40"
"1098","2026","Joe Tiroly","Virginia","2B","Jr","33","0.268","0.373","0.409","28","127","34","6","0","52","4","31","16","6","1","0","21","0","0","2","1","150"
"1099","2026","Brayden Fraasman","NC State","RF","Sr","31","0.286","0.339","0.410","23","105","30","8","1","43","1","16","10","0","3","1","22","0","0","6","0","119"
"1100","2026","Easton Moomau","UTRGV","3B","Jr","32","0.263","0.405","0.398","21","118","31","5","1","47","3","25","27","2","1","0","26","1","0","2","0","148"
"1101","2026","Brady Gray","Abilene Christian","C","So","24","0.241","0.368","0.468","14","79","19","3","0","37","5","15","11","5","0","0","38","0","1","0","1","95"
"1102","2026","Carl Schmidt","California","LF","So","23","0.244","0.311","0.415","9","82","20","2","0","34","4","5","8","0","0","0","26","1","0","0","0","90"
"1103","2026","Cade Ladehoff","Michigan","DH","Jr","28","0.250","0.342","0.427","11","96","24","6","1","41","3","16","12","3","3","0","22","0","0","0","0","114"
"1104","2026","Travis Stroh","FDU","CF","So","27","0.298","0.405","0.564","26","94","28","7","0","53","6","25","11","6","0","2","26","2","1","14","0","113"
"1105","2026","Kellen Strohmeyer","Iowa","RF","Sr","28","0.317","0.391","0.426","23","101","32","6","1","43","1","15","12","1","1","0","18","0","1","13","0","115"
"1106","2026","Maddix Simpson","Ohio St.","3B","So","28","0.250","0.345","0.344","12","96","24","4","1","33","1","11","13","2","2","5","25","0","3","3","0","118"
"1107","2026","Ryland Duson","Prairie View","3B","Fr","28","0.396","0.463","0.613","21","106","42","7","2","65","4","28","14","1","2","0","18","2","0","1","0","123"
"1108","2026","Kyle Revere","Oakland","SS","Sr","25","0.330","0.395","0.485","16","103","34","4","0","50","4","15","8","3","0","0","21","1","1","6","1","114"
"1109","2026","Marcus Dierks","Miami (OH)","CF","Jr","30","0.377","0.531","0.443","40","106","40","5","1","47","0","17","23","13","1","7","18","4","1","24","0","150"
"1110","2026","Duncan Mathews","South Alabama","C","Jr","32","0.261","0.387","0.441","21","111","29","8","0","49","4","22","15","9","2","7","22","0","0","1","0","144"
"1111","2026","Paris Pridgen","Austin Peay","CF","Sr","29","0.346","0.416","0.467","32","107","37","8","1","50","1","19","13","2","3","8","36","1","0","21","0","133"
"1112","2026","Ryan Jones","Abilene Christian","RF","Fr","31","0.281","0.443","0.483","18","89","25","12","0","43","2","13","14","12","0","1","28","2","0","2","0","116"
"1113","2026","Patrick Fultz","Wright St.","3B","Sr","27","0.222","0.342","0.444","20","99","22","4","0","44","6","18","16","2","0","1","41","2","0","0","1","118"
"1114","2026","Jaylen Jones","Western Caro.","CF","Fr","32","0.292","0.385","0.425","19","106","31","8","0","45","2","16","14","2","0","4","14","2","1","10","0","126"
"1115","2026","Connor Price","Georgetown","C","Sr","25","0.275","0.434","0.538","20","80","22","6","0","43","5","16","16","8","2","1","25","1","0","1","0","107"
"1116","2026","Dalton Bargo","NC State","DH","Sr","23","0.244","0.289","0.451","11","82","20","2","0","37","5","19","6","0","2","0","18","0","0","0","0","90"
"1117","2026","Andres Matias","Austin Peay","SS","Sr","26","0.309","0.391","0.515","22","97","30","8","0","50","4","28","12","3","3","2","14","1","0","2","0","117"
"1118","2026","Brady Krzciok","Central Mich.","1B","Sr","26","0.280","0.392","0.530","26","100","28","5","1","53","6","24","17","2","1","1","30","1","0","2","1","121"
"1119","2026","Lance Trippel","South Fla.","C","Sr","27","0.333","0.394","0.462","19","93","31","9","0","43","1","19","8","2","1","0","9","3","1","3","0","104"
"1120","2026","Josh Campos","Liberty","CF","Jr","31","0.257","0.379","0.455","23","101","26","5","0","46","5","24","16","5","2","1","37","1","1","4","0","125"
"1121","2026","Brady Holbrook","Belmont","CF","Fr","24","0.347","0.397","0.500","13","72","25","2","0","36","3","11","5","1","0","0","15","1","1","1","0","78"
"1122","2026","Cecil Lofton","Southern Ill.","1B","Sr","25","0.277","0.381","0.530","12","83","23","4","1","44","5","17","14","3","5","0","13","1","0","3","1","105"
"1123","2026","Trevor Hansen","Manhattan","1B","Sr","26","0.330","0.388","0.625","16","88","29","11","0","55","5","16","10","1","4","0","34","1","0","0","0","103"
"1124","2026","Max Price","UAB","C","Jr","17","0.271","0.419","0.646","14","48","13","3","0","31","5","14","11","2","1","0","14","0","0","0","0","62"
"1125","2026","Aidan Cohall","FIU","1B","Jr","31","0.260","0.403","0.404","9","104","27","15","0","42","0","18","19","6","0","0","32","0","0","2","1","129"
"1126","2026","Wesley Jordan","Texas A&M","DH","Sr","12","0.302","0.474","0.581","12","43","13","3","0","25","3","9","12","2","0","0","19","1","0","2","0","57"
"1127","2026","Brooks Craigue","Merrimack","SS","Jr","26","0.320","0.404","0.490","19","100","32","6","1","49","3","17","12","2","0","3","19","0","0","4","0","117"
"1128","2026","Ryan Gerety","Northeastern","CF","Jr","30","0.304","0.462","0.429","28","112","34","11","0","48","1","16","27","6","0","1","23","2","2","10","0","146"
"1129","2026","Amman Dewberry","Presbyterian","RF","Jr","33","0.256","0.331","0.432","17","125","32","5","1","54","5","26","12","2","0","0","46","2","1","1","0","139"
"1130","2026","Dean West","UCLA","LF","Jr","30","0.252","0.437","0.353","36","119","30","6","0","42","2","22","23","16","0","2","18","1","0","5","0","160"
"1131","2026","Jayder Raifstanger","St. John's (NY)","3B","Jr","31","0.315","0.422","0.403","21","124","39","8","0","50","1","15","19","4","0","0","19","1","0","4","0","147"
"1132","2026","Peter Johnson","Xavier","DH","Jr","29","0.264","0.354","0.425","9","87","23","5","0","37","3","10","9","3","0","0","31","0","0","1","2","99"
"1133","2026","Robert Wegrzyn","Le Moyne","C","So","23","0.308","0.400","0.440","16","91","28","3","0","40","3","18","8","6","0","0","26","0","0","2","0","105"
"1134","2026","Matthew Russo","Southern Miss.","1B","Sr","32","0.281","0.399","0.421","21","121","34","5","0","51","4","26","14","11","2","0","27","0","0","0","0","148"
"1135","2026","Micajah Wall","Southern Ind.","C","Sr","27","0.307","0.411","0.455","17","88","27","2","1","40","3","27","17","0","2","4","21","3","0","2","0","111"
"1136","2026","Luke Matlock","ETSU","3B","Jr","21","0.277","0.383","0.538","19","65","18","5","0","35","4","17","12","1","3","1","13","0","0","0","0","82"
"1137","2026","Jayden Williams","The Citadel","RF","Fr","28","0.306","0.420","0.388","31","98","30","4","2","38","0","11","15","5","1","4","28","2","1","14","0","123"
"1138","2026","Matthias Haas","Tulane","3B","Sr","30","0.289","0.359","0.389","14","90","26","6","0","35","1","18","9","2","2","1","16","1","0","4","0","104"
"1139","2026","Kaiden Dossa","Yale","CF","Jr","24","0.320","0.407","0.546","23","97","31","9","2","53","3","24","15","2","4","0","28","0","0","10","0","118"
"1140","2026","Elijah Clayton","Campbell","SS","So","30","0.250","0.354","0.368","19","68","17","3","1","25","1","17","7","5","2","1","18","1","3","15","0","83"
"1141","2026","Brooks Kettering","Southeast Mo. St.","SS","Jr","30","0.277","0.415","0.404","19","94","26","6","0","38","2","12","21","2","1","4","19","3","0","4","0","122"
"1142","2026","Lucas Moore","Louisville","CF","Jr","32","0.262","0.401","0.392","36","130","34","2","3","51","3","19","22","9","1","0","25","3","0","20","0","162"
"1143","2026","Noah Bright","Michigan St.","C","Sr","17","0.184","0.286","0.265","5","49","9","1","0","13","1","1","3","4","0","0","14","0","0","0","0","56"
"1144","2026","Andrew Kirchner","Cal St. Fullerton","1B","Sr","28","0.228","0.333","0.386","18","101","23","2","1","39","4","11","15","2","2","3","37","0","0","1","1","123"
"1145","2026","Axel Melendez","ETSU","LF","So","29","0.257","0.325","0.413","20","109","28","4","2","45","3","26","10","2","2","0","28","3","0","9","0","123"
"1146","2026","Ignacio Gonzalez","Miami (OH)","3B","So","27","0.276","0.385","0.480","19","98","27","5","0","47","5","25","16","2","1","0","36","2","1","1","0","117"
"1147","2026","Connor Crowson","Tennessee Tech","3B","Sr","30","0.258","0.413","0.412","14","97","25","4","1","40","3","15","24","3","2","1","22","1","0","1","2","127"
"1148","2026","Bobby Atkinson","Missouri St.","1B","Sr","20","0.254","0.360","0.508","17","63","16","4","0","32","4","13","7","4","1","1","18","0","0","0","0","76"
"1149","2026","Logan Pruski","Northern Colo.","SS","So","33","0.331","0.413","0.427","17","124","41","6","0","53","2","20","15","3","1","0","24","3","0","9","1","143"
"1150","2026","Cade Goldstein","UC Santa Barbara","2B","Fr","18","0.258","0.425","0.387","11","62","16","2","0","24","2","10","13","5","0","2","17","3","0","3","0","82"
"1151","2026","Max Farrell","San Diego St.","1B","Fr","33","0.275","0.382","0.420","29","131","36","4","3","55","3","22","18","6","2","1","28","1","0","10","0","158"
"1152","2026","Luke Mistone","Murray St.","1B","Sr","32","0.336","0.386","0.438","27","137","46","11","0","60","1","36","7","6","3","0","8","2","0","7","0","153"
"1153","2026","Jack Hopko","Rhode Island","RF","Sr","28","0.269","0.369","0.500","18","104","28","5","2","52","5","19","14","3","1","0","19","1","0","3","0","122"
"1154","2026","Dayton Murphy","Michigan St.","SS","So","23","0.345","0.398","0.452","11","84","29","5","2","38","0","13","4","4","1","0","11","0","0","2","0","93"
"1155","2026","Alex Benevento","Brown","RF","So","24","0.352","0.434","0.549","23","91","32","4","1","50","4","16","9","5","1","1","16","2","1","8","0","107"
"1156","2026","Matthew Polk","Arizona St.","LF","Sr","13","0.379","0.379","0.759","8","29","11","3","1","22","2","8","0","0","0","0","5","0","0","1","0","29"
"1157","2026","Guriyandel Salva","Manhattan","2B","So","26","0.337","0.405","0.465","13","101","34","7","0","47","2","21","9","4","2","1","14","2","0","2","1","117"
"1158","2026","Logan Baratta","Jacksonville","3B","Fr","32","0.252","0.368","0.409","24","115","29","6","3","47","2","16","18","3","0","0","17","1","0","3","0","136"
"1159","2026","Landon Lowe","Bradley","LF","Sr","31","0.316","0.455","0.411","21","95","30","9","0","39","0","20","16","9","1","1","21","4","0","6","0","122"
"1160","2026","Julian Jimenez","UMES","CF","Sr","27","0.287","0.465","0.447","31","94","27","4","4","42","1","10","26","6","1","2","30","3","1","8","0","129"
"1161","2026","Ty Rhoades","Little Rock","RF","Sr","29","0.258","0.308","0.423","11","97","25","8","1","41","2","25","6","1","0","1","26","1","0","0","0","105"
"1162","2026","Cam Hoiland","Cal Poly","RF","Sr","25","0.307","0.390","0.511","20","88","27","9","0","45","3","14","13","1","3","0","9","0","0","1","0","105"
"1163","2026","Nathan Martinez","Charleston So.","SS","Sr","28","0.352","0.500","0.385","27","91","32","3","0","35","0","19","23","6","2","4","19","2","0","2","0","126"
"1164","2026","Foster Apple","Stetson","LF","So","31","0.294","0.382","0.422","15","109","32","9","1","46","1","22","15","3","4","0","29","0","0","2","0","131"
"1165","2026","Dom Krupinski","Miami (OH)","SS","Sr","30","0.248","0.437","0.457","28","105","26","7","0","48","5","24","23","13","1","3","30","3","0","5","0","145"
"1166","2026","Jabin Trosky","San Diego St.","SS","Jr","33","0.319","0.388","0.415","32","135","43","11","1","56","0","9","12","4","1","2","11","0","1","4","0","154"
"1167","2026","AJ Singer","Oregon St.","2B","Sr","30","0.252","0.353","0.369","24","111","28","4","0","41","3","23","16","3","3","3","13","2","2","1","1","136"
"1168","2026","Eli Putnam","Florida St.","2B","Sr","28","0.253","0.355","0.440","16","91","23","3","1","40","4","19","12","3","1","2","30","0","0","1","0","109"
"1169","2026","Sergio Guerra","Tarleton St.","C","Sr","25","0.267","0.327","0.478","15","90","24","7","0","43","4","25","5","4","2","1","20","1","1","0","2","102"
"1170","2026","Boden Fernsler","Lafayette","3B","So","24","0.250","0.330","0.550","14","80","20","7","1","44","5","15","5","5","1","2","32","0","0","1","0","93"
"1171","2026","Jack Clark","High Point","LF","So","25","0.307","0.388","0.507","13","75","23","6","3","38","1","10","8","2","0","0","15","1","1","3","0","85"
"1172","2026","Jordan Jaffe","Liberty","DH","Sr","24","0.330","0.369","0.457","19","94","31","4","1","43","2","14","6","1","2","0","11","0","0","2","0","103"
"1173","2026","Ryan Taylor","Penn","CF","Sr","22","0.231","0.355","0.372","13","78","18","4","2","29","1","11","14","1","0","1","25","0","0","11","0","94"
"1174","2026","Charlie Iriotakis","William & Mary","RF","Sr","29","0.294","0.345","0.559","20","102","30","5","2","57","6","16","9","0","2","0","21","1","0","1","0","113"
"1175","2026","Mason Reising","Charleston So.","C","So","21","0.385","0.548","0.654","16","52","20","2","0","34","4","13","11","9","1","0","9","0","0","1","0","73"
"1176","2026","Easton Roe","Little Rock","LF","Jr","29","0.348","0.420","0.506","9","89","31","6","1","45","2","16","8","3","0","0","12","0","0","0","0","100"
"1177","2026","Paxton Bigby","South Alabama","DH","Jr","27","0.288","0.376","0.450","16","80","23","4","0","36","3","14","11","1","1","0","15","0","1","1","0","93"
"1178","2026","Owen Prince","VMI","CF","Sr","31","0.353","0.497","0.431","46","116","41","5","2","50","0","13","25","9","1","0","9","4","3","25","0","151"
"1179","2026","Alan Benhardt","Winthrop","1B","Sr","32","0.276","0.380","0.379","25","116","32","7","1","44","1","31","15","7","4","2","17","2","0","8","1","144"
"1180","2026","Ethan Hott","Stanford","CF","Sr","21","0.317","0.400","0.467","13","60","19","4","1","28","1","12","5","4","1","1","10","0","0","2","0","71"
"1181","2026","Evan Menzel","UConn","2B","So","33","0.265","0.327","0.379","23","132","35","7","1","50","2","21","13","1","4","4","25","2","1","3","0","154"
"1182","2026","Dante Vachini","Cal Poly","LF","So","28","0.276","0.319","0.419","14","105","29","8","2","44","1","11","7","0","1","3","20","1","0","1","0","116"
