Team Rk,Year,School,Conference,P-OPS,WHIP,FIP,OPS,wOBA,R/PA,RC/AB,RA/AB,wRC35,wRA35,wRE35,Rk - wRE35
"207","2026","Elon","CAA","0.746","1.49","4.36","0.673","0.314","0.13","0.11","0.14","2.93","2.35","5.29","0.407"
"208","2026","Bucknell","Patriot","0.803","1.71","5.30","0.732","0.331","0.14","0.13","0.16","2.62","-0.08","2.54","0.111"
"209","2026","Sam Houston","CUSA","0.836","1.56","5.37","0.714","0.325","0.14","0.12","0.18","3.33","3.18","6.51","0.564"
"210","2026","FIU","CUSA","0.803","1.81","4.90","0.752","0.342","0.14","0.13","0.16","3.77","1.61","5.38","0.423"
"211","2026","Ball St.","MAC","0.898","1.77","5.64","0.831","0.366","0.17","0.16","0.21","4.28","-1.40","2.89","0.153"
"212","2026","UC Davis","Big West","0.816","1.70","4.17","0.691","0.312","0.12","0.12","0.17","3.21","1.99","5.19","0.394"
"213","2026","Lindenwood","OVC","0.730","1.38","4.12","0.689","0.311","0.13","0.12","0.14","2.76","1.26","4.02","0.257"
"214","2026","Davidson","Atlantic 10","0.896","1.89","6.08","0.800","0.361","0.16","0.15","0.19","3.32","-0.62","2.70","0.130"
"215","2026","Evansville","MVC","0.891","1.74","5.34","0.693","0.317","0.12","0.11","0.21","3.12","1.10","4.22","0.283"
"216","2026","Texas Southern","SWAC","0.875","1.80","5.63","0.938","0.414","0.19","0.20","0.18","3.08","-2.67","0.40","0.049"
"217","2026","Central Ark.","ASUN","0.840","1.67","5.54","0.745","0.333","0.14","0.14","0.17","3.71","1.17","4.88","0.348"
"218","2026","Bellarmine","ASUN","0.925","1.86","5.87","0.844","0.376","0.17","0.17","0.21","4.52","-0.35","4.17","0.274"
"219","2026","Col. of Charleston","CAA","0.810","1.60","4.49","0.694","0.313","0.11","0.12","0.16","3.28","2.13","5.40","0.433"
"220","2026","Merrimack","MAAC","0.814","1.68","5.74","0.804","0.361","0.17","0.16","0.15","2.68","-0.68","2.00","0.101"
"221","2026","Rhode Island","Atlantic 10","0.810","1.58","5.42","0.736","0.329","0.14","0.13","0.16","3.31","1.99","5.30","0.410"
"222","2026","Western Mich.","MAC","0.841","1.74","5.75","0.777","0.352","0.15","0.15","0.18","3.66","0.41","4.07","0.264"
"223","2026","Maine","America East","0.866","1.82","5.99","0.739","0.330","0.13","0.14","0.18","3.60","-0.78","2.82","0.143"
"224","2026","Fairfield","MAAC","0.726","1.50","4.64","0.742","0.336","0.15","0.14","0.13","2.69","1.27","3.96","0.244"
"225","2026","LIU","NEC","0.861","1.68","5.52","0.910","0.398","0.20","0.23","0.19","4.80","-0.64","4.16","0.270"
"226","2026","LMU (CA)","WCC","0.959","1.99","6.21","0.730","0.329","0.14","0.13","0.22","3.74","0.76","4.50","0.303"
"227","2026","Columbia","Ivy League","0.872","1.83","5.63","0.724","0.327","0.13","0.14","0.19","3.76","1.76","5.52","0.446"
"228","2026","William & Mary","CAA","0.834","1.86","6.12","0.737","0.330","0.15","0.14","0.16","3.73","1.93","5.66","0.459"
"229","2026","Quinnipiac","MAAC","0.799","1.67","4.21","0.779","0.351","0.15","0.15","0.16","2.87","2.17","5.03","0.375"
"230","2026","Delaware","CUSA","0.863","1.85","5.87","0.756","0.342","0.14","0.15","0.18","3.70","2.48","6.17","0.524"
"231","2026","Seton Hall","Big East","0.800","1.62","4.55","0.713","0.327","0.14","0.13","0.15","3.46","3.20","6.66","0.586"
"232","2026","Mount St. Mary's","MAAC","0.853","1.82","5.47","0.815","0.367","0.17","0.15","0.19","3.36","0.29","3.65","0.202"
"233","2026","Central Mich.","MAC","0.913","1.89","5.96","0.845","0.374","0.18","0.17","0.20","3.77","0.17","3.94","0.238"
"234","2026","Eastern Ky.","ASUN","0.908","1.83","6.34","0.783","0.353","0.15","0.14","0.20","3.57","-0.88","2.69","0.127"
"235","2026","Fresno St.","MW","0.887","1.79","5.94","0.810","0.360","0.17","0.15","0.19","3.94","1.38","5.32","0.414"
"236","2026","Fordham","Atlantic 10","0.869","1.79","5.34","0.767","0.347","0.16","0.14","0.19","3.69","0.98","4.67","0.329"
"237","2026","Valparaiso","MVC","0.921","1.84","5.44","0.742","0.332","0.14","0.14","0.21","4.01","0.32","4.34","0.290"
"238","2026","Penn St.","Big Ten","0.945","1.97","5.70","0.794","0.355","0.14","0.15","0.22","4.29","2.77","7.07","0.632"
"239","2026","Butler","Big East","0.973","2.03","5.82","0.818","0.361","0.17","0.16","0.24","4.54","-1.22","3.32","0.179"
"240","2026","Pepperdine","WCC","0.841","1.63","4.80","0.701","0.315","0.12","0.12","0.17","3.46","0.43","3.88","0.231"
"241","2026","Jackson St.","SWAC","0.836","1.82","5.56","0.831","0.371","0.18","0.17","0.18","2.87","-1.72","1.14","0.062"
"242","2026","La Salle","Atlantic 10","0.860","1.79","5.86","0.838","0.374","0.19","0.16","0.19","3.34","-0.09","3.25","0.173"
"243","2026","Grand Canyon","MW","0.864","1.73","4.60","0.747","0.334","0.12","0.14","0.18","3.94","2.32","6.26","0.537"
"244","2026","Princeton","Ivy League","0.860","1.66","6.33","0.623","0.284","0.11","0.10","0.17","3.08","3.86","6.94","0.609"
"245","2026","Omaha","Summit League","0.818","1.61","4.72","0.769","0.346","0.14","0.15","0.16","3.07","0.57","3.63","0.199"
"246","2026","Harvard","Ivy League","0.805","1.58","5.44","0.654","0.301","0.11","0.11","0.16","3.45","3.22","6.68","0.590"
"247","2026","Army West Point","Patriot","0.778","1.61","5.15","0.717","0.330","0.14","0.12","0.15","2.87","0.99","3.86","0.228"
"248","2026","Sacred Heart","MAAC","0.952","2.02","6.97","0.724","0.331","0.14","0.12","0.21","2.86","-1.34","1.52","0.075"
"249","2026","Niagara","MAAC","0.758","1.59","4.72","0.680","0.308","0.11","0.11","0.15","2.53","3.27","5.81","0.476"
"250","2026","South Dakota St.","Summit League","0.881","1.84","5.95","0.782","0.351","0.16","0.14","0.19","3.04","-0.32","2.72","0.137"
"251","2026","Grambling","SWAC","0.929","2.16","6.98","0.829","0.374","0.18","0.16","0.20","2.68","-2.61","0.06","0.039"
"252","2026","Lafayette","Patriot","0.934","2.05","6.16","0.766","0.342","0.14","0.14","0.21","3.95","0.41","4.36","0.296"
"253","2026","Stony Brook","CAA","0.866","1.82","5.39","0.691","0.320","0.14","0.12","0.17","3.49","3.10","6.59","0.580"
"254","2026","UIC","MVC","0.909","1.68","5.76","0.793","0.357","0.14","0.14","0.20","4.18","2.10","6.28","0.547"
"255","2026","Long Beach St.","Big West","0.806","1.67","4.98","0.733","0.338","0.13","0.13","0.16","2.87","1.49","4.36","0.293"
"256","2026","St. Bonaventure","Atlantic 10","0.801","1.70","4.79","0.743","0.334","0.13","0.14","0.16","3.13","1.40","4.54","0.306"
"257","2026","Seattle U","WCC","0.862","1.64","4.77","0.702","0.320","0.13","0.12","0.18","2.96","-0.32","2.64","0.120"
"258","2026","George Washington","Atlantic 10","0.821","1.66","5.17","0.771","0.346","0.14","0.15","0.16","3.24","-0.01","3.22","0.169"
"259","2026","Eastern Mich.","MAC","0.938","1.86","6.12","0.764","0.346","0.14","0.14","0.21","3.49","-2.27","1.22","0.068"
"260","2026","Southern U.","SWAC","0.887","1.99","6.30","0.773","0.350","0.17","0.11","0.23","1.99","-2.54","-0.55","0.023"
"261","2026","Holy Cross","Patriot","0.879","1.74","5.94","0.768","0.346","0.17","0.14","0.19","3.17","0.18","3.35","0.182"
"262","2026","Saint Louis","Atlantic 10","0.815","1.60","5.31","0.741","0.334","0.12","0.13","0.16","3.29","0.40","3.69","0.205"
"263","2026","UNC Asheville","Big South","0.886","1.84","5.42","0.807","0.362","0.17","0.16","0.20","3.17","-1.95","1.22","0.065"
"264","2026","Youngstown St.","Horizon","0.821","1.74","5.22","0.651","0.298","0.09","0.10","0.17","2.65","1.57","4.22","0.280"
"265","2026","Dartmouth","Ivy League","0.726","1.45","4.18","0.613","0.288","0.11","0.09","0.13","2.10","2.37","4.47","0.300"
"266","2026","N.C. A&T","CAA","0.819","1.80","5.44","0.708","0.320","0.15","0.12","0.16","2.81","1.82","4.63","0.323"
"267","2026","West Ga.","ASUN","0.948","1.94","6.84","0.736","0.329","0.14","0.14","0.22","3.46","-0.75","2.71","0.134"
"268","2026","Akron","MAC","0.867","1.84","6.23","0.804","0.367","0.16","0.16","0.18","3.28","-0.74","2.54","0.114"
"269","2026","Queens (NC)","ASUN","0.883","1.77","6.51","0.689","0.310","0.10","0.12","0.18","3.68","0.95","4.63","0.319"
"270","2026","Wagner","NEC","0.908","2.15","5.93","0.785","0.356","0.17","0.16","0.20","3.66","-0.13","3.53","0.189"
"271","2026","Alabama St.","SWAC","0.836","1.86","5.08","0.747","0.338","0.14","0.14","0.17","2.51","-1.93","0.58","0.052"
"272","2026","Tennessee Tech","OVC","1.040","2.12","6.60","0.756","0.340","0.14","0.14","0.26","3.84","-2.05","1.79","0.085"
"273","2026","Oakland","Horizon","0.944","2.01","6.47","0.696","0.316","0.13","0.12","0.21","2.64","0.28","2.92","0.156"
"274","2026","Marist","MAAC","0.880","1.90","5.66","0.761","0.346","0.15","0.14","0.19","3.03","0.24","3.28","0.176"
"275","2026","Bradley","MVC","1.006","2.35","6.58","0.717","0.332","0.14","0.12","0.24","3.11","-0.92","2.19","0.107"
"276","2026","Manhattan","MAAC","0.885","1.89","5.79","0.824","0.365","0.16","0.17","0.19","3.15","-2.05","1.10","0.059"
"277","2026","Villanova","Big East","0.862","1.71","5.21","0.710","0.322","0.14","0.12","0.18","3.04","0.89","3.92","0.234"
"278","2026","UC Riverside","Big West","0.900","1.90","5.86","0.703","0.316","0.13","0.12","0.19","3.46","-1.55","1.90","0.088"
"279","2026","Pacific","WCC","0.873","1.83","5.15","0.713","0.321","0.14","0.13","0.18","3.71","1.80","5.51","0.440"
"280","2026","Northern Ky.","Horizon","0.927","1.93","6.41","0.760","0.345","0.17","0.14","0.21","2.99","-1.38","1.61","0.078"
"281","2026","Canisius","MAAC","0.836","1.78","5.07","0.736","0.334","0.13","0.11","0.17","3.21","1.73","4.94","0.362"
"282","2026","North Dakota St.","Summit League","0.887","1.81","5.73","0.624","0.289","0.10","0.10","0.19","2.10","1.07","3.17","0.163"
"283","2026","Milwaukee","Horizon","0.893","1.93","5.84","0.742","0.333","0.13","0.14","0.19","3.97","2.03","6.00","0.508"
"284","2026","UMass Lowell","America East","0.865","1.79","5.35","0.721","0.327","0.14","0.13","0.18","2.94","-0.92","2.02","0.104"
"285","2026","Siena","MAAC","0.868","2.05","6.21","0.718","0.329","0.14","0.13","0.18","2.60","0.86","3.46","0.186"
"286","2026","Cornell","Ivy League","0.864","1.64","5.83","0.697","0.315","0.11","0.12","0.18","3.20","2.00","5.19","0.391"
"287","2026","UAlbany","America East","0.787","1.65","4.90","0.637","0.295","0.11","0.10","0.16","2.63","2.14","4.77","0.345"
"288","2026","Ohio","MAC","1.017","2.24","7.07","0.756","0.340","0.14","0.14","0.25","3.15","-4.23","-1.08","0.013"
"289","2026","Le Moyne","NEC","0.988","2.21","7.23","0.802","0.361","0.18","0.16","0.26","3.44","-2.83","0.62","0.055"
"290","2026","Norfolk St.","NEC","0.934","2.06","5.83","0.773","0.348","0.16","0.15","0.21","3.16","-3.40","-0.24","0.036"
"291","2026","Massachusetts","MAC","0.835","1.80","5.27","0.744","0.336","0.13","0.14","0.17","3.18","-0.34","2.85","0.147"
"292","2026","NJIT","America East","0.808","1.74","4.83","0.690","0.319","0.14","0.12","0.16","2.49","-0.52","1.97","0.098"
"293","2026","Presbyterian","Big South","0.942","1.95","5.63","0.720","0.323","0.13","0.13","0.22","3.23","-1.32","1.91","0.091"
"294","2026","Iona","MAAC","0.833","1.76","4.91","0.691","0.316","0.11","0.12","0.17","2.02","-1.80","0.21","0.046"
"295","2026","Lehigh","Patriot","0.890","1.90","5.09","0.710","0.321","0.11","0.13","0.19","2.88","0.22","3.10","0.160"
"296","2026","Central Conn. St.","NEC","0.898","2.01","5.86","0.737","0.336","0.16","0.13","0.20","2.54","-3.01","-0.47","0.029"
"297","2026","St. Thomas (MN)","Summit League","0.931","1.92","6.42","0.721","0.323","0.13","0.13","0.20","3.03","-1.10","1.93","0.095"
"298","2026","Mercyhurst","NEC","0.897","1.98","6.78","0.731","0.333","0.15","0.13","0.20","3.08","-1.33","1.76","0.081"
"299","2026","Mississippi Val.","SWAC","0.977","2.17","6.44","0.733","0.335","0.14","0.13","0.22","2.19","-4.39","-2.20","0.003"
"300","2026","Northern Colo.","Summit League","1.001","2.18","6.71","0.729","0.330","0.13","0.12","0.25","2.78","-3.15","-0.37","0.033"
"301","2026","UMES","NEC","1.018","2.25","7.62","0.782","0.357","0.15","0.15","0.25","3.01","-4.60","-1.59","0.006"
"302","2026","Alabama A&M","SWAC","0.910","2.02","5.96","0.764","0.347","0.13","0.15","0.20","2.82","-3.65","-0.83","0.019"
"303","2026","Coppin St.","NEC","0.974","2.46","6.93","0.740","0.341","0.15","0.13","0.24","2.69","-3.21","-0.52","0.026"
"304","2026","Prairie View","SWAC","0.949","2.17","6.02","0.743","0.335","0.13","0.14","0.23","2.58","-2.45","0.13","0.042"
"305","2026","Delaware St.","NEC","1.007","2.44","6.85","0.673","0.307","0.13","0.12","0.25","2.62","-3.59","-0.97","0.016"
"306","2026","Alcorn","SWAC","0.965","2.52","6.64","0.677","0.316","0.14","0.11","0.22","1.50","-4.16","-2.65","0.000"
"307","2026","New Haven","NEC","0.973","2.48","7.60","0.680","0.314","0.11","0.12","0.23","2.95","-1.54","1.41","0.072"
"308","2026","Saint Peter's","MAAC","0.962","2.31","7.47","0.665","0.301","0.12","0.11","0.23","2.26","-3.82","-1.57","0.010"
